Application Domain,Subcategory,Key Studies
Medicine,Electronic Health Records (EHRs),"Choi et al. 2016, Alabi et al. 2023"
Medicine,Medical Documents Analysis,"Li et al. 2022, Moradi et al. 2022, Kang et al. 2017, Weng et al. 2017"
Finance,Risk Assessment,"Fritz-Morgenthal et al. 2022, Wallace 2019"
Finance,Fraud Detection,"Psychoula et al. 2021, Fritz-Morgenthal et al. 2022, Varshney et al. 2017, Cirqueira et al. 2021"
Finance,Firm Valuation,"Rizinski et al. 2024, Bagga et al. 2023"
Systematic Reviews,Review Automation,"Rosemblat et al. 2019"
Systematic Reviews,Text Summarization,"Marshall et al. 2016"
CRM,Sentiment Analysis,"Capuano et al. 2021, Du et al. 2019, Bacco et al. 2021"
CRM,Customer Support Automation,"Bar-Haim et al. 2020, Jenneboer et al. 2022"
Chatbots,Conversational Agents,"Bar-Haim et al. 2020, Coppo et al. 2019"
Chatbots,Context-Aware Recommendations,"Zhang et al. 2019"
Social Science,Sexism and Hate Speech Detection,"Mozafari et al. 2020, Saleh et al. 2023, Plaza et al. 2023, Kirk et al. 2023"
Social Science,Fake News and AI Generative Detection,"Capuano et al. 2023, Mohammadi 2023"
Human Resources,Talent Acquisition and Recruitment,"Patwardhan et al. 2023, Gurrapu et al. 2023"
Human Resources,Employee Sentiment Analysis,"Jim et al. 2024, Danilevsky et al. 2020"
Human Resources,Performance Evaluation,"Various studies"
